id_currency, [date], rate
GBP, 01-01-2018, 77.6739
USD, 01-01-2018, 57.6002
EUR, 01-01-2018, 68.8668
CAD, 01-01-2018, 45.9258
CNY, 01-01-2018, 88.4497
NOK, 01-01-2018, 70.0664
TRY, 01-01-2018, 15.2390
JPY, 01-01-2018, 51.1479
GBP, 02-01-2018, 77.6739
USD, 02-01-2018, 57.6002
EUR, 02-01-2018, 68.8668
CAD, 02-01-2018, 45.9258
CNY, 02-01-2018, 88.4497
NOK, 02-01-2018, 70.0664
TRY, 02-01-2018, 15.2390
JPY, 02-01-2018, 51.1479
GBP, 03-01-2018, 77.6739
USD, 03-01-2018, 57.6002
EUR, 03-01-2018, 68.8668
CAD, 03-01-2018, 45.9258
CNY, 03-01-2018, 88.4497
NOK, 03-01-2018, 70.0664
TRY, 03-01-2018, 15.2390
JPY, 03-01-2018, 51.1479
GBP, 04-01-2018, 77.6739
USD, 04-01-2018, 57.6002
EUR, 04-01-2018, 68.8668
CAD, 04-01-2018, 45.9258
CNY, 04-01-2018, 88.4497
NOK, 04-01-2018, 70.0664
TRY, 04-01-2018, 15.2390
JPY, 04-01-2018, 51.1479
GBP, 05-01-2018, 77.6739
USD, 05-01-2018, 57.6002
EUR, 05-01-2018, 68.8668
CAD, 05-01-2018, 45.9258
CNY, 05-01-2018, 88.4497
NOK, 05-01-2018, 70.0664
TRY, 05-01-2018, 15.2390
JPY, 05-01-2018, 51.1479
GBP, 06-01-2018, 77.6739
USD, 06-01-2018, 57.6002
EUR, 06-01-2018, 68.8668
CAD, 06-01-2018, 45.9258
CNY, 06-01-2018, 88.4497
NOK, 06-01-2018, 70.0664
TRY, 06-01-2018, 15.2390
JPY, 06-01-2018, 51.1479
GBP, 07-01-2018, 77.6739
USD, 07-01-2018, 57.6002
EUR, 07-01-2018, 68.8668
CAD, 07-01-2018, 45.9258
CNY, 07-01-2018, 88.4497
NOK, 07-01-2018, 70.0664
TRY, 07-01-2018, 15.2390
JPY, 07-01-2018, 51.1479
GBP, 08-01-2018, 77.6739
USD, 08-01-2018, 57.6002
EUR, 08-01-2018, 68.8668
CAD, 08-01-2018, 45.9258
CNY, 08-01-2018, 88.4497
NOK, 08-01-2018, 70.0664
TRY, 08-01-2018, 15.2390
JPY, 08-01-2018, 51.1479
GBP, 09-01-2018, 77.6739
USD, 09-01-2018, 57.6002
EUR, 09-01-2018, 68.8668
CAD, 09-01-2018, 45.9258
CNY, 09-01-2018, 88.4497
NOK, 09-01-2018, 70.0664
TRY, 09-01-2018, 15.2390
JPY, 09-01-2018, 51.1479
GBP, 10-01-2018, 77.2122
USD, 10-01-2018, 57.0463
EUR, 10-01-2018, 68.2103
CAD, 10-01-2018, 45.8793
CNY, 10-01-2018, 87.4890
NOK, 10-01-2018, 70.5434
TRY, 10-01-2018, 15.1921
JPY, 10-01-2018, 50.5483
GBP, 11-01-2018, 76.8644
USD, 11-01-2018, 56.8734
EUR, 11-01-2018, 67.8841
CAD, 11-01-2018, 45.6668
CNY, 11-01-2018, 87.2653
NOK, 11-01-2018, 70.5993
TRY, 11-01-2018, 15.0399
JPY, 11-01-2018, 50.8138
GBP, 12-01-2018, 76.8188
USD, 12-01-2018, 56.9957
EUR, 12-01-2018, 68.0586
CAD, 12-01-2018, 45.3174
CNY, 12-01-2018, 87.5739
NOK, 12-01-2018, 70.6065
TRY, 12-01-2018, 15.0301
JPY, 12-01-2018, 51.0325
GBP, 13-01-2018, 76.7465
USD, 13-01-2018, 56.6019
EUR, 13-01-2018, 68.2562
CAD, 13-01-2018, 45.1515
CNY, 13-01-2018, 87.5134
NOK, 13-01-2018, 70.7480
TRY, 13-01-2018, 15.0193
JPY, 13-01-2018, 50.8713
GBP, 14-01-2018, 76.7465
USD, 14-01-2018, 56.6019
EUR, 14-01-2018, 68.2562
CAD, 14-01-2018, 45.1515
CNY, 14-01-2018, 87.5134
NOK, 14-01-2018, 70.7480
TRY, 14-01-2018, 15.0193
JPY, 14-01-2018, 50.8713
GBP, 15-01-2018, 76.7465
USD, 15-01-2018, 56.6019
EUR, 15-01-2018, 68.2562
CAD, 15-01-2018, 45.1515
CNY, 15-01-2018, 87.5134
NOK, 15-01-2018, 70.7480
TRY, 15-01-2018, 15.0193
JPY, 15-01-2018, 50.8713
GBP, 16-01-2018, 77.5076
USD, 16-01-2018, 56.3569
EUR, 16-01-2018, 68.8174
CAD, 16-01-2018, 45.2884
CNY, 16-01-2018, 87.4931
NOK, 16-01-2018, 71.1775
TRY, 16-01-2018, 14.9993
JPY, 16-01-2018, 50.9073
GBP, 17-01-2018, 77.7588
USD, 17-01-2018, 56.3878
EUR, 17-01-2018, 69.0243
CAD, 17-01-2018, 45.3825
CNY, 17-01-2018, 87.6131
NOK, 17-01-2018, 71.6227
TRY, 17-01-2018, 14.7747
JPY, 17-01-2018, 50.9306
GBP, 18-01-2018, 77.9562
USD, 18-01-2018, 56.5925
EUR, 18-01-2018, 69.1730
CAD, 18-01-2018, 45.4631
CNY, 18-01-2018, 87.9790
NOK, 18-01-2018, 71.9366
TRY, 18-01-2018, 14.8315
JPY, 18-01-2018, 51.0970
GBP, 19-01-2018, 78.5497
USD, 19-01-2018, 56.7597
EUR, 19-01-2018, 69.2582
CAD, 19-01-2018, 45.6525
CNY, 19-01-2018, 88.3488
NOK, 19-01-2018, 72.1280
TRY, 19-01-2018, 14.9399
JPY, 19-01-2018, 51.0406
GBP, 20-01-2018, 78.8231
USD, 20-01-2018, 56.5892
EUR, 20-01-2018, 69.3953
CAD, 20-01-2018, 45.5703
CNY, 20-01-2018, 88.3682
NOK, 20-01-2018, 72.2326
TRY, 20-01-2018, 14.9790
JPY, 20-01-2018, 51.1726
GBP, 21-01-2018, 78.8231
USD, 21-01-2018, 56.5892
EUR, 21-01-2018, 69.3953
CAD, 21-01-2018, 45.5703
CNY, 21-01-2018, 88.3682
NOK, 21-01-2018, 72.2326
TRY, 21-01-2018, 14.9790
JPY, 21-01-2018, 51.1726
GBP, 22-01-2018, 78.8231
USD, 22-01-2018, 56.5892
EUR, 22-01-2018, 69.3953
CAD, 22-01-2018, 45.5703
CNY, 22-01-2018, 88.3682
NOK, 22-01-2018, 72.2326
TRY, 22-01-2018, 14.9790
JPY, 22-01-2018, 51.1726
GBP, 23-01-2018, 78.6650
USD, 23-01-2018, 56.6261
EUR, 23-01-2018, 69.2650
CAD, 23-01-2018, 45.3953
CNY, 23-01-2018, 88.4424
NOK, 23-01-2018, 72.2014
TRY, 23-01-2018, 14.8637
